ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
1935,10.17,25.1,178.6,124.0,124.7,16.2,0.65,2.9,977.0,4.35,PROBLEMATICO
1936,5.2,28.3,208.6,114.6,74.2,7.9,6.17,3.4,989.0,2.28,PROBLEMATICO
1937,7.3,31.0,30.4,147.9,,43.0,4.56,37.0,2272.0,,TRATABLE
1938,7.56,24.1,137.5,134.7,86.8,,9.23,38.8,2324.0,0.86,PROBLEMATICO
1939,8.3,23.8,154.5,207.4,193.3,11.2,9.89,26.3,819.0,4.17,PROBLEMATICO
1940,7.12,35.3,84.0,514.4,22.7,20.3,1.5,0.6,1385.0,4.54,PROBLEMATICO
1941,,31.9,161.8,87.0,149.8,,14.32,,943.0,4.81,PROBLEMATICO
1942,6.53,31.0,,129.1,,6.2,,10.0,1738.0,6.92,TRATABLE
1943,7.32,30.9,,520.0,,24.3,,7.8,952.0,,PROBLEMATICO
1944,6.59,29.3,115.1,164.4,1.8,3.0,,3.5,152.0,3.12,TRATABLE
1945,7.75,37.1,46.1,247.2,135.2,29.9,,11.0,478.0,,PROBLEMATICO
1946,6.56,27.2,40.8,391.9,284.1,54.8,2.46,34.6,,7.05,PROBLEMATICO
1947,7.45,29.9,190.1,344.2,260.3,13.3,3.57,,696.0,2.81,GRAVE
1948,6.96,19.7,117.7,385.1,79.2,8.9,2.34,2.4,1750.0,1.21,PROBLEMATICO
1949,8.35,22.9,,412.1,280.9,37.1,5.4,6.3,1460.0,0.09,GRAVE
1950,6.94,21.0,31.2,64.3,108.0,75.0,4.54,12.8,701.0,5.73,TRATABLE
1951,4.87,33.4,103.3,4.6,107.2,32.6,5.76,27.1,1092.0,6.54,GRAVE
1952,,14.2,218.7,460.8,149.4,8.9,7.74,25.3,762.0,3.69,PROBLEMATICO
1953,5.91,25.0,120.1,109.3,223.9,19.3,0.99,25.5,934.0,4.45,PROBLEMATICO
1954,6.22,12.0,122.6,128.9,79.1,0.1,3.39,8.6,,5.6,TRATABLE
1955,6.29,22.8,138.7,22.7,100.2,36.5,1.46,17.2,1120.0,5.11,PROBLEMATICO
1956,8.65,24.5,8.7,,,40.8,1.24,0.7,,5.24,TRATABLE
1957,4.44,33.9,176.2,187.1,175.1,47.3,9.8,1.0,1254.0,8.73,GRAVE
1958,10.77,29.0,7.0,,233.3,16.1,,26.2,1569.0,4.18,PROBLEMATICO
1959,8.27,22.8,35.4,60.4,239.5,7.5,1.53,27.3,,4.87,TRATABLE
1960,7.27,32.3,25.6,,3.3,48.9,10.58,11.8,803.0,3.37,PROBLEMATICO
1961,6.93,27.1,104.2,104.6,101.7,46.9,3.62,22.2,,6.69,PROBLEMATICO
1962,7.34,27.2,88.3,140.9,264.5,4.2,3.81,23.3,1094.0,7.55,PROBLEMATICO
1963,7.63,21.0,119.9,143.5,163.2,15.2,5.2,4.7,1966.0,4.97,PROBLEMATICO
1964,7.77,22.0,38.5,,143.4,36.2,,4.5,,,PROBLEMATICO
1965,7.67,22.9,210.5,419.5,141.1,17.5,1.23,7.9,721.0,7.26,PROBLEMATICO
1966,7.11,27.2,195.1,160.9,194.1,,2.15,2.5,430.0,3.72,TRATABLE
1967,6.76,27.4,104.4,88.2,168.6,4.4,7.13,4.3,,5.13,PROBLEMATICO
1968,6.82,,76.9,252.0,82.5,1.8,6.01,13.3,996.0,,PROBLEMATICO
1969,6.77,,67.9,247.0,228.1,20.4,2.11,13.3,496.0,4.77,TRATABLE
1970,8.36,13.5,92.1,20.3,19.7,9.4,3.6,31.1,642.0,4.09,TRATABLE
1971,7.71,28.3,6.0,209.1,,1.3,6.34,16.7,1668.0,6.9,PROBLEMATICO
1972,3.47,19.7,33.6,,50.4,16.3,3.15,10.5,1301.0,4.16,TRATABLE
1973,7.79,22.2,,31.4,194.8,6.2,4.91,19.1,732.0,3.87,TRATABLE
1974,7.23,22.9,147.2,280.8,123.5,22.5,6.27,3.5,1602.0,7.71,PROBLEMATICO
1975,,23.7,267.1,282.1,92.4,,1.24,3.6,1924.0,4.1,PROBLEMATICO
1976,6.53,20.1,93.1,74.8,275.8,16.6,5.95,,1659.0,5.78,PROBLEMATICO
1977,8.35,28.0,87.5,153.8,214.3,14.3,4.05,34.2,1345.0,7.34,TRATABLE
1978,8.14,19.9,,567.3,134.1,41.3,9.43,7.5,2374.0,3.33,PROBLEMATICO
1979,6.07,28.8,91.3,389.5,314.5,35.2,2.43,35.0,2127.0,6.23,GRAVE
1980,7.49,38.2,,168.6,238.0,36.4,5.77,32.6,1244.0,3.02,PROBLEMATICO
1981,,20.4,144.4,662.6,59.5,23.4,0.41,8.9,1906.0,5.8,PROBLEMATICO
1982,,25.6,122.6,34.6,86.0,13.9,4.23,,1656.0,6.23,PROBLEMATICO
1983,6.25,14.4,,103.7,150.7,,6.45,6.4,826.0,3.4,TRATABLE
1984,8.03,25.5,232.6,230.1,278.3,7.1,2.42,12.4,2320.0,0.0,GRAVE
1985,8.14,30.2,290.7,25.6,201.1,41.0,,4.9,2381.0,2.39,GRAVE
1986,7.62,30.6,225.0,572.3,297.4,12.2,6.76,28.2,2038.0,4.81,GRAVE
1987,7.87,27.4,170.2,,80.2,3.0,,3.4,1641.0,2.37,PROBLEMATICO
1988,7.62,31.4,188.6,107.8,128.3,26.4,3.19,30.5,,3.68,PROBLEMATICO
1989,6.23,39.7,287.1,330.6,130.7,21.9,5.25,1.8,,5.52,PROBLEMATICO
1990,7.52,35.6,188.4,276.3,164.1,,2.05,15.0,1967.0,3.93,PROBLEMATICO
1991,,24.4,67.3,195.2,216.7,40.3,7.3,17.3,297.0,4.66,PROBLEMATICO
1992,7.91,19.7,155.3,32.5,303.2,31.6,3.18,5.3,972.0,3.17,PROBLEMATICO
1993,8.43,25.0,176.4,8.5,324.3,31.5,,0.5,,,PROBLEMATICO
1994,7.85,22.3,30.5,643.6,306.7,,2.61,,1480.0,3.06,GRAVE
1995,7.42,29.3,94.4,,206.9,41.6,0.28,32.7,1921.0,4.4,PROBLEMATICO
1996,8.28,21.1,219.0,555.6,105.8,19.2,6.24,1.8,2354.0,5.58,PROBLEMATICO
1997,6.97,26.6,44.1,97.9,162.6,0.3,0.32,20.4,1049.0,2.41,PROBLEMATICO
1998,5.94,31.2,7.5,392.2,205.5,18.3,3.21,25.2,1362.0,4.53,PROBLEMATICO
1999,6.8,26.5,,333.8,153.5,7.8,5.09,39.0,1190.0,4.08,PROBLEMATICO
2000,6.11,22.3,151.8,369.8,48.6,2.9,1.97,23.1,2466.0,,PROBLEMATICO
2001,6.19,32.9,2.2,381.8,93.8,51.1,8.71,2.9,1432.0,4.58,PROBLEMATICO
2002,6.83,17.6,108.6,40.1,226.8,2.2,9.92,18.1,2498.0,3.33,PROBLEMATICO
2003,6.05,25.4,223.8,128.3,115.3,0.9,1.57,0.5,2071.0,5.09,TRATABLE
2004,6.63,26.8,126.2,3.8,142.4,34.1,1.69,2.5,1727.0,6.75,PROBLEMATICO
2005,4.73,27.1,204.5,284.1,,37.5,2.68,11.4,810.0,3.9,PROBLEMATICO
2006,7.26,,66.7,11.8,50.8,8.0,7.46,14.0,441.0,4.62,TRATABLE
2007,7.0,30.1,47.1,106.6,122.9,26.5,5.46,11.3,1262.0,4.34,TRATABLE
2008,,26.8,196.4,207.3,94.2,12.1,6.25,45.1,1268.0,5.29,PROBLEMATICO
2009,,25.2,153.2,147.6,70.8,28.0,7.95,,385.0,2.98,PROBLEMATICO
2010,8.13,25.0,13.3,296.6,34.2,,1.28,32.3,,8.23,TRATABLE
2011,5.07,23.9,47.9,23.6,129.9,2.6,5.51,55.2,1329.0,7.23,GRAVE
2012,6.08,30.9,260.8,98.7,201.8,13.3,4.15,6.5,1611.0,3.82,PROBLEMATICO
2013,6.08,23.8,36.8,160.5,,,5.29,17.7,2389.0,8.73,PROBLEMATICO
2014,5.87,31.2,204.1,,0.6,,7.45,,657.0,0.0,GRAVE
2015,8.0,27.1,77.0,13.3,300.6,29.0,3.54,17.2,258.0,6.24,PROBLEMATICO
2016,6.77,24.4,119.7,184.5,169.3,15.0,,10.0,790.0,11.89,PROBLEMATICO
2017,6.68,30.1,146.5,72.5,27.3,0.8,,57.2,2411.0,4.01,PROBLEMATICO
2018,4.6,23.4,69.1,99.6,99.6,19.1,9.26,36.6,1206.0,6.28,PROBLEMATICO
2019,7.76,30.2,,565.3,47.7,15.2,3.87,22.8,1067.0,6.28,PROBLEMATICO
2020,5.51,28.1,127.8,303.5,22.2,27.5,0.1,39.4,838.0,4.06,PROBLEMATICO
2021,7.07,24.0,54.8,119.7,312.1,20.9,8.15,,1196.0,5.63,PROBLEMATICO
2022,7.33,29.6,209.7,243.8,70.1,,1.13,,801.0,7.91,PROBLEMATICO
2023,8.63,29.7,24.6,149.1,193.7,15.5,0.65,28.5,856.0,2.79,PROBLEMATICO
2024,5.43,32.8,170.9,233.4,128.9,52.8,3.05,42.9,1932.0,5.54,GRAVE
2025,,31.8,3.9,383.9,141.8,32.5,2.36,30.9,3014.0,6.44,GRAVE
2026,7.22,29.5,,190.4,176.8,9.3,4.94,25.4,610.0,3.16,PROBLEMATICO
2027,9.16,21.4,24.2,,68.4,40.0,1.78,17.4,825.0,4.76,PROBLEMATICO
2028,8.49,39.2,,292.6,271.9,1.2,,4.3,810.0,5.55,GRAVE
2029,7.25,20.0,0.6,191.3,130.1,6.6,7.84,9.7,2314.0,,PROBLEMATICO
2030,,31.7,109.0,117.5,89.6,,1.05,,1731.0,7.5,TRATABLE
2031,7.97,29.2,35.4,155.5,186.8,45.9,2.86,28.6,1020.0,5.12,PROBLEMATICO
2032,5.83,21.1,264.0,375.9,67.9,18.8,1.6,14.2,848.0,3.16,PROBLEMATICO
2033,7.57,26.4,156.1,390.8,160.8,10.7,4.96,0.4,2294.0,2.3,PROBLEMATICO
2034,7.61,26.6,,45.2,123.5,25.0,0.77,,1229.0,4.03,TRATABLE
2035,8.27,33.5,252.7,203.0,211.1,31.8,0.4,8.5,1173.0,3.95,PROBLEMATICO
2036,10.31,23.4,133.3,,118.6,,3.55,27.6,312.0,5.37,PROBLEMATICO
2037,7.47,25.7,139.8,394.0,37.0,4.9,5.01,55.3,1757.0,2.2,GRAVE
2038,,,131.9,165.2,176.2,44.7,4.45,14.6,1195.0,3.3,PROBLEMATICO
2039,6.97,35.7,170.7,646.2,112.9,15.2,2.68,20.2,1275.0,7.6,PROBLEMATICO
2040,4.88,21.6,75.7,289.2,42.1,38.3,6.0,35.3,,1.48,GRAVE
2041,6.17,28.6,100.7,462.8,159.8,42.9,4.69,13.9,1858.0,3.36,PROBLEMATICO
2042,6.51,,192.9,67.4,86.3,43.9,0.49,21.6,363.0,2.14,PROBLEMATICO
2043,6.37,26.5,145.0,252.1,,32.2,4.03,29.8,363.0,,PROBLEMATICO
2044,7.18,31.0,109.7,360.9,54.5,2.8,5.56,34.8,2571.0,5.99,PROBLEMATICO
2045,6.01,35.4,6.0,64.0,19.4,35.4,3.23,16.0,341.0,11.69,TRATABLE
2046,8.35,28.3,254.8,253.7,258.0,,0.67,6.3,666.0,6.5,GRAVE
2047,7.0,30.3,60.5,,224.3,5.1,8.88,18.7,2076.0,2.12,PROBLEMATICO
2048,6.99,28.6,208.9,191.1,139.3,13.8,8.84,15.6,1235.0,5.67,PROBLEMATICO
2049,6.61,32.1,135.8,96.7,183.8,,7.82,20.3,1242.0,4.33,PROBLEMATICO
2050,7.19,24.7,3.6,574.5,221.0,26.3,4.68,30.6,2313.0,3.6,PROBLEMATICO
2051,7.99,32.4,232.7,39.1,139.0,,,45.6,798.0,4.55,PROBLEMATICO
2052,5.96,32.6,142.9,278.1,19.1,27.9,7.53,31.6,824.0,6.29,PROBLEMATICO
2053,6.21,32.4,240.2,122.5,169.9,2.7,1.24,31.2,1732.0,6.17,PROBLEMATICO
2054,6.64,23.7,,81.4,240.2,22.7,2.32,40.1,1312.0,1.8,PROBLEMATICO
2055,5.38,26.2,183.4,383.5,199.3,17.1,6.7,41.4,1920.0,4.59,GRAVE
2056,,28.2,38.6,213.0,145.9,40.2,10.1,1.6,749.0,2.51,PROBLEMATICO
2057,6.43,20.1,75.0,323.1,196.5,42.1,8.62,7.8,1339.0,4.82,PROBLEMATICO
2058,8.05,35.0,,155.9,117.7,18.9,4.52,40.9,1149.0,3.62,TRATABLE
2059,7.32,26.9,,340.6,244.4,13.3,6.22,,926.0,6.14,PROBLEMATICO
2060,7.23,28.4,162.5,120.3,274.7,4.5,,4.4,302.0,3.95,PROBLEMATICO
2061,8.02,,65.6,88.2,10.4,,0.87,1.5,,3.1,TRATABLE
2062,6.84,20.4,197.7,589.3,251.6,19.4,7.24,62.4,823.0,4.62,GRAVE
2063,7.47,24.0,42.9,358.2,363.7,53.5,4.97,29.2,2077.0,4.46,PROBLEMATICO
2064,,28.1,,290.9,192.6,38.1,0.34,10.0,1597.0,4.18,PROBLEMATICO
2065,7.32,30.4,237.9,474.9,238.4,,3.86,40.7,1511.0,,PROBLEMATICO
2066,6.3,27.8,211.2,294.6,75.3,24.3,5.85,13.4,1073.0,0.0,PROBLEMATICO
2067,4.07,28.7,89.0,106.2,89.6,,6.72,36.8,576.0,8.39,PROBLEMATICO
2068,6.84,25.3,71.3,,119.0,10.6,5.88,25.5,1356.0,,PROBLEMATICO
2069,8.71,29.5,172.4,,99.8,29.5,2.91,8.9,2193.0,4.98,TRATABLE
2070,8.11,34.4,108.7,159.9,8.8,15.8,1.46,24.0,599.0,5.25,TRATABLE
2071,8.16,30.5,,23.6,122.7,30.4,4.35,24.7,,8.86,PROBLEMATICO
2072,8.48,31.0,69.9,75.4,223.6,40.5,6.41,29.4,883.0,9.13,PROBLEMATICO
2073,7.11,28.5,249.1,411.0,10.1,18.8,6.72,44.3,1196.0,5.32,PROBLEMATICO
2074,7.24,,17.6,309.8,157.9,14.2,8.74,54.8,1091.0,2.45,GRAVE
2075,6.26,,162.1,159.5,154.8,5.9,4.11,22.4,1515.0,2.51,PROBLEMATICO
2076,6.62,29.3,139.6,65.0,109.9,37.0,0.67,19.3,1091.0,3.26,PROBLEMATICO
2077,7.74,26.9,87.8,177.0,189.7,35.6,7.26,30.8,848.0,4.44,PROBLEMATICO
2078,8.44,29.2,178.0,53.1,180.3,61.4,4.25,10.3,96.0,3.57,PROBLEMATICO
2079,6.83,35.4,266.9,272.8,102.8,25.2,0.15,15.4,1354.0,2.56,GRAVE
2080,,30.6,93.4,420.2,246.1,20.3,5.87,27.4,1627.0,,PROBLEMATICO
2081,,33.3,98.1,676.1,196.1,30.4,8.24,22.9,1244.0,2.82,GRAVE
2082,7.72,27.5,176.0,51.4,297.3,16.8,5.15,0.5,1149.0,7.27,PROBLEMATICO
2083,5.27,23.0,202.6,412.7,133.4,,,6.3,2241.0,2.83,GRAVE
2084,4.24,26.7,108.5,122.7,107.8,23.6,2.55,,2335.0,3.13,PROBLEMATICO
2085,,23.0,92.5,46.9,119.2,30.2,1.82,24.1,1950.0,4.72,PROBLEMATICO
2086,5.54,34.8,79.6,46.8,257.8,31.4,6.56,0.8,1434.0,1.89,GRAVE
2087,6.39,31.0,50.0,275.3,125.1,30.0,2.94,26.9,1268.0,3.76,PROBLEMATICO
2088,,29.6,17.5,82.5,131.2,41.2,7.62,7.4,463.0,1.49,PROBLEMATICO
2089,6.46,33.2,181.6,140.8,336.1,31.4,4.51,24.8,134.0,4.38,PROBLEMATICO
2090,8.74,16.9,98.0,170.7,5.6,26.9,7.66,20.7,2160.0,2.84,PROBLEMATICO
2091,7.39,29.9,94.5,116.8,175.7,0.8,5.89,31.2,1280.0,3.51,PROBLEMATICO
2092,7.36,20.4,,103.7,133.9,26.4,1.3,16.9,3574.0,4.78,PROBLEMATICO
2093,7.75,27.0,41.7,187.2,114.9,,1.97,12.0,791.0,3.7,TRATABLE
2094,5.63,25.4,259.8,265.7,44.7,,6.35,1.7,1499.0,5.97,GRAVE
2095,8.25,30.3,236.8,,,31.0,5.7,7.8,1915.0,2.52,PROBLEMATICO
2096,6.91,28.1,265.6,106.5,99.2,31.3,0.95,11.1,743.0,3.55,PROBLEMATICO
2097,7.8,33.7,181.5,314.9,189.6,29.7,,8.7,,3.85,PROBLEMATICO
2098,5.71,24.0,117.3,501.4,225.2,32.0,8.17,,1064.0,6.12,GRAVE
2099,5.14,30.5,265.3,254.2,37.9,24.2,1.88,12.4,915.0,6.61,PROBLEMATICO
2100,7.98,27.8,58.7,489.4,19.8,17.6,1.8,16.6,1479.0,2.56,PROBLEMATICO
2101,7.45,18.8,41.6,652.9,194.8,53.9,6.91,20.9,,3.69,GRAVE
2102,,22.4,65.9,705.5,203.2,24.7,7.82,6.6,226.0,,GRAVE
2103,,26.3,167.1,36.1,6.4,23.8,1.8,2.9,1277.0,4.5,PROBLEMATICO
2104,8.35,32.6,51.4,37.0,227.4,21.7,6.32,54.8,1462.0,4.59,PROBLEMATICO
2105,5.57,29.3,106.0,170.0,138.6,43.7,4.99,13.6,1172.0,7.33,PROBLEMATICO
2106,8.97,21.2,24.2,,214.7,11.0,3.67,11.2,2353.0,4.15,TRATABLE
2107,5.92,,163.3,535.6,54.8,12.2,5.74,40.4,1444.0,4.26,GRAVE
2108,7.77,37.1,16.5,362.9,1.0,,2.49,49.0,,3.61,TRATABLE
2109,6.61,27.6,36.1,33.4,,16.6,,41.0,1837.0,5.56,TRATABLE
2110,7.72,25.4,229.5,139.9,113.6,,,8.0,2787.0,5.01,PROBLEMATICO
2111,6.35,29.5,226.2,242.4,108.0,,4.8,21.3,1100.0,,PROBLEMATICO
2112,6.8,30.8,,18.0,101.0,7.3,3.64,25.5,1938.0,8.78,PROBLEMATICO
2113,7.05,24.7,144.8,252.5,309.3,35.1,0.46,55.3,2487.0,1.52,GRAVE
2114,5.8,29.5,72.2,36.1,30.0,69.4,1.98,22.6,1038.0,0.0,PROBLEMATICO
2115,7.89,,,47.1,55.5,31.7,5.57,23.4,379.0,5.93,PROBLEMATICO
2116,6.38,30.6,,79.5,98.1,5.5,0.57,3.2,1507.0,4.41,TRATABLE
2117,6.73,27.8,16.2,324.0,142.4,37.7,3.04,7.6,2143.0,3.35,PROBLEMATICO
2118,5.81,,142.7,322.7,211.1,53.4,9.81,39.4,1000.0,6.53,GRAVE
2119,3.93,23.2,124.4,267.4,226.5,41.1,4.2,21.2,1967.0,4.84,GRAVE
2120,6.77,22.9,36.0,428.5,247.7,5.8,4.39,23.1,598.0,3.69,PROBLEMATICO
2121,9.9,31.7,261.2,409.4,188.1,,3.82,34.3,1027.0,6.29,GRAVE
2122,7.94,26.6,174.6,286.8,33.0,13.7,6.95,30.3,1135.0,6.0,PROBLEMATICO
2123,6.98,28.4,,261.9,,22.9,4.13,28.0,,5.8,PROBLEMATICO
2124,6.68,25.5,76.1,,254.7,15.3,3.34,26.4,598.0,1.96,GRAVE
2125,7.03,31.5,119.9,223.4,248.3,35.4,4.46,17.5,965.0,2.86,PROBLEMATICO
2126,7.66,24.0,176.5,141.4,203.6,15.6,7.98,18.8,177.0,5.09,PROBLEMATICO
2127,5.58,26.3,133.8,454.4,58.0,,5.21,31.5,1685.0,5.44,GRAVE
2128,8.34,30.9,264.2,321.6,107.7,,4.17,1.9,1225.0,7.31,PROBLEMATICO
2129,7.86,32.9,101.7,,,18.0,7.53,3.9,2005.0,3.35,PROBLEMATICO
2130,7.86,24.4,74.6,,37.5,32.3,2.43,16.5,1137.0,,PROBLEMATICO
2131,7.53,36.8,177.1,143.8,165.9,28.4,5.61,17.7,59.0,6.84,PROBLEMATICO
2132,7.02,28.6,6.2,230.6,355.5,32.8,5.34,28.0,1423.0,4.22,GRAVE
2133,7.81,21.8,203.2,434.2,90.4,19.6,5.31,11.0,736.0,4.83,PROBLEMATICO
2134,7.71,28.8,2.9,289.6,269.7,46.0,2.13,1.0,1948.0,4.41,PROBLEMATICO
2135,6.58,,177.5,490.4,51.5,39.8,3.19,25.8,1052.0,,PROBLEMATICO
2136,6.31,29.2,61.7,186.6,13.7,21.8,7.77,39.2,2611.0,,PROBLEMATICO
2137,7.12,26.8,162.9,554.4,238.7,36.8,5.36,21.6,574.0,1.29,GRAVE
2138,8.86,27.4,201.7,110.0,,17.3,8.42,11.2,1372.0,5.79,PROBLEMATICO
2139,5.51,22.4,133.8,487.2,267.1,32.3,4.81,20.0,1619.0,7.85,GRAVE
2140,5.24,32.0,12.0,157.7,287.1,36.9,3.54,19.8,,,GRAVE
2141,7.2,21.2,39.3,52.0,112.2,26.5,6.12,14.3,267.0,5.18,TRATABLE
2142,7.06,21.5,54.4,303.6,274.3,7.2,5.1,21.2,1060.0,5.66,PROBLEMATICO
2143,7.21,28.8,,177.9,52.4,0.5,5.32,7.3,,1.86,PROBLEMATICO
2144,7.29,35.0,221.5,236.5,50.8,27.3,3.31,24.2,711.0,2.98,PROBLEMATICO
2145,6.73,25.2,129.9,257.5,247.2,9.0,2.28,9.9,,3.14,PROBLEMATICO
2146,,30.5,17.8,35.6,14.8,41.0,2.4,35.7,1901.0,4.93,TRATABLE
2147,5.08,32.4,251.0,49.1,139.8,5.2,5.56,18.9,1396.0,1.77,GRAVE
2148,6.01,31.1,56.9,291.8,265.0,45.7,,,917.0,3.13,PROBLEMATICO
2149,6.88,25.4,142.6,130.1,271.7,22.9,3.89,31.2,874.0,5.23,PROBLEMATICO
2150,5.03,,45.7,,96.7,6.6,1.8,27.4,814.0,6.22,PROBLEMATICO
2151,6.79,16.0,,215.4,240.9,13.9,0.77,37.9,1844.0,4.56,PROBLEMATICO
2152,8.99,25.7,2.8,379.4,27.7,18.3,2.51,27.8,161.0,2.4,PROBLEMATICO
2153,7.03,32.9,79.6,329.7,73.3,30.7,2.19,23.5,607.0,3.95,PROBLEMATICO
2154,,21.4,200.8,141.8,163.0,0.1,4.44,2.9,157.0,4.91,TRATABLE
2155,5.49,30.5,151.2,106.5,177.8,4.7,4.56,29.6,1610.0,7.54,PROBLEMATICO
2156,,22.2,132.6,463.3,35.2,16.2,10.39,12.4,2260.0,5.35,PROBLEMATICO
2157,6.55,27.5,60.9,73.8,326.2,21.4,5.12,29.5,1602.0,,PROBLEMATICO
2158,6.62,30.5,234.3,,47.7,34.9,5.92,55.1,1652.0,6.15,PROBLEMATICO
2159,8.54,23.7,140.1,222.8,145.4,26.8,0.27,36.7,832.0,6.93,PROBLEMATICO
2160,7.67,27.9,109.3,,159.6,15.0,3.0,20.1,,,PROBLEMATICO
2161,5.67,24.9,,423.2,,26.3,0.75,16.3,674.0,,PROBLEMATICO
2162,,30.5,232.3,251.0,272.4,25.0,5.8,,797.0,4.86,PROBLEMATICO
2163,7.6,28.2,223.9,227.1,66.0,17.5,4.16,26.8,1174.0,9.4,PROBLEMATICO
2164,8.37,27.3,,433.3,,24.1,2.98,15.8,1230.0,3.81,PROBLEMATICO
2165,8.9,,29.7,358.1,172.8,16.7,6.87,5.8,2455.0,8.06,PROBLEMATICO
2166,5.78,30.3,,117.6,5.4,38.8,3.19,20.8,1807.0,7.94,PROBLEMATICO
2167,6.03,23.5,,43.5,32.8,31.9,8.0,5.7,1281.0,,TRATABLE
2168,5.49,26.6,295.3,101.7,296.3,49.0,,19.0,2397.0,5.12,GRAVE
2169,6.72,26.6,122.5,241.1,133.4,7.4,2.09,37.4,2882.0,1.64,GRAVE
2170,7.56,27.4,24.5,,129.7,32.3,7.34,17.8,1214.0,8.13,PROBLEMATICO
2171,,39.6,9.1,266.3,109.8,12.3,,4.6,1468.0,,PROBLEMATICO
2172,,28.9,5.0,226.7,136.7,9.8,2.82,0.0,333.0,1.28,PROBLEMATICO
2173,6.62,16.8,132.6,207.7,161.9,17.7,,27.4,1316.0,4.19,PROBLEMATICO
2174,7.18,24.3,119.4,3.1,59.9,11.6,0.76,28.6,725.0,2.62,PROBLEMATICO
2175,6.0,17.3,8.8,269.4,,40.9,2.39,0.7,120.0,2.5,PROBLEMATICO
2176,9.51,25.4,87.9,188.1,,43.2,5.25,14.5,1893.0,3.82,PROBLEMATICO
2177,5.07,17.1,,,162.1,45.1,3.12,31.3,1274.0,6.41,PROBLEMATICO
2178,7.22,22.6,173.0,90.3,190.6,32.8,7.23,46.0,592.0,6.5,PROBLEMATICO
2179,9.43,19.4,,12.0,,33.5,2.81,18.2,79.0,5.42,PROBLEMATICO
2180,7.01,28.9,85.9,220.5,280.4,1.1,4.36,11.4,774.0,5.5,PROBLEMATICO
2181,6.77,27.0,4.1,58.5,359.1,,,,728.0,4.58,PROBLEMATICO
2182,6.57,28.5,93.0,57.6,26.6,,0.58,17.6,1123.0,6.57,TRATABLE
2183,6.78,26.5,,347.5,101.8,2.8,5.18,40.0,20.0,4.75,PROBLEMATICO
2184,8.65,20.0,148.6,160.9,214.3,30.4,4.95,17.6,1501.0,2.93,PROBLEMATICO
2185,4.35,29.6,135.0,17.6,127.3,12.2,1.8,24.0,1649.0,3.95,PROBLEMATICO
2186,8.84,36.6,,125.8,132.3,55.3,3.41,10.6,289.0,4.98,PROBLEMATICO
2187,5.29,29.0,76.4,647.5,120.7,4.4,2.64,,14.0,6.21,GRAVE
2188,6.68,24.9,47.4,453.1,263.4,23.7,7.69,39.1,1910.0,5.16,PROBLEMATICO
2189,6.48,19.9,209.2,168.7,0.5,25.3,12.16,9.7,1096.0,2.05,PROBLEMATICO
2190,7.71,22.5,35.8,265.8,162.1,,,13.1,1648.0,6.19,TRATABLE
2191,5.08,29.3,20.4,162.1,50.7,60.7,8.88,36.2,,3.77,PROBLEMATICO
2192,7.55,32.4,116.1,341.9,227.0,52.4,,68.0,1138.0,5.55,GRAVE
2193,9.43,28.3,147.2,96.2,164.2,7.5,2.25,15.3,1924.0,1.35,PROBLEMATICO
2194,5.36,31.0,72.2,152.2,,30.8,9.65,5.8,1788.0,5.66,PROBLEMATICO
2195,7.23,30.5,71.5,332.0,98.2,21.8,5.4,7.9,1469.0,6.44,PROBLEMATICO
2196,6.21,29.5,84.8,511.7,9.9,37.0,3.32,33.7,1517.0,3.48,PROBLEMATICO
2197,7.51,23.7,247.5,383.5,240.8,25.8,1.34,21.4,896.0,5.31,PROBLEMATICO
2198,,27.9,119.8,472.1,60.1,7.4,4.31,5.8,1588.0,4.9,TRATABLE
2199,6.23,22.8,32.9,193.8,190.0,3.3,4.12,10.5,2287.0,,TRATABLE
2200,7.59,27.1,33.8,137.9,43.8,14.8,10.72,33.2,1917.0,6.41,TRATABLE
2201,9.17,28.7,97.4,98.9,359.8,19.8,1.16,11.4,111.0,4.08,PROBLEMATICO
2202,6.77,35.4,141.4,263.0,296.0,25.5,1.34,,1516.0,,PROBLEMATICO
2203,7.86,,163.6,318.2,347.4,11.7,2.47,2.7,1574.0,5.7,PROBLEMATICO
2204,,29.4,131.2,196.0,359.1,52.7,11.97,7.3,1993.0,4.91,GRAVE
2205,5.85,34.4,44.2,110.2,76.5,31.6,,9.6,2067.0,5.85,PROBLEMATICO
2206,7.57,30.8,,473.8,51.6,37.7,7.92,3.8,1547.0,4.81,PROBLEMATICO
2207,8.78,31.2,186.1,363.7,342.6,19.5,0.67,3.6,333.0,5.33,PROBLEMATICO
2208,7.43,29.9,16.9,486.3,125.9,3.3,5.29,57.7,1121.0,4.37,PROBLEMATICO
2209,6.62,33.5,,78.4,223.3,37.9,4.29,20.9,,3.18,PROBLEMATICO
2210,7.0,21.6,173.8,122.5,77.9,4.1,,7.6,384.0,,TRATABLE
2211,5.5,20.1,198.8,466.6,79.6,14.4,6.15,21.8,2178.0,3.17,PROBLEMATICO
2212,7.73,27.0,102.6,241.5,223.0,,1.6,17.9,875.0,,PROBLEMATICO
2213,8.06,16.2,83.0,,57.0,8.4,0.85,,2593.0,10.65,TRATABLE
